"Make"	"Model"	"Description"	"AorM"	"Transmission"	"Engine Capacity"	"Fuel Type"	" Imperial Urban (Cold) "	" Imperial Extra-Urban "	" Imperial Combined "	" CO2 g/km "	" Fuel Cost 12000 Miles "	" Tax band "	" Standard 12 months "	" Standard 6 Months "
"AUDI"	"A3"	"1.6 TDI 105PS Stop-Start"	"Manual"	"M5"	1598	"Diesel"	" 56.50 "	" 76.30 "	" 68.90 "	" 109.00 "	" £1,163.88 "	" B "	" £20.00 "	" NA "
"AUDI"	"A3"	"1.8 TFSI 160PS"	"Manual"	"M6"	1798	"Petrol"	" 32.50 "	" 53.30 "	" 42.80 "	" 152.00 "	" £1,771.67 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A3"	"1.8 TFSI 160PS 7speed S-Tronic"	"Automatic"	"D7"	1798	"Petrol"	" 33.20 "	" 54.30 "	" 43.50 "	" 149.00 "	" £1,743.16 "	" F "	" £135.00 "	" £74.25 "
"AUDI"	"A3"	"2.0 TDI 140PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 51.40 "	" 74.30 "	" 64.20 "	" 115.00 "	" £1,249.09 "	" C "	" £30.00 "	" NA "
"AUDI"	"A3"	"2.0 TDI 140PS S-Tronic "	"Automatic"	"D6"	1968	"Diesel"	" 48.70 "	" 64.20 "	" 57.60 "	" 129.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3"	"2.0 TDI 170PS Stop-Start "	"Manual"	"M6"	1968	"Diesel"	" 49.60 "	" 67.30 "	" 60.10 "	" 123.00 "	" £1,334.30 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3"	"S3 2.0 TFSI 265PS quattro "	"Manual"	"QM6"	1984	"Petrol"	" 23.90 "	" 42.80 "	" 33.20 "	" 198.00 "	" £2,283.95 "	" J "	" £250.00 "	" £137.50 "
"AUDI"	"A3"	"S3 2.0 TFSI 265PS quattro S-Tronic"	"Automatic"	"QD6"	1984	"Petrol"	" 25.40 "	" 42.20 "	" 34.00 "	" 193.00 "	" £2,230.21 "	" J "	" £250.00 "	" £137.50 "
"AUDI"	"A3 Cabriolet"	"1.2 TFSI 105PS "	"Manual"	"M6"	1197	"Petrol"	" 40.40 "	" 56.50 "	" 49.60 "	" 132.00 "	" £1,528.78 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A3 Cabriolet"	"1.6 TDI 105PS Stop-Start"	"Manual"	"M5"	1598	"Diesel"	" 54.30 "	" 72.40 "	" 65.70 "	" 114.00 "	" £1,220.57 "	" C "	" £30.00 "	" NA "
"AUDI"	"A3 Cabriolet"	"1.8 TFSI 160PS"	"Manual"	"M6"	1798	"Petrol"	" 31.70 "	" 51.40 "	" 42.20 "	" 156.00 "	" £1,796.85 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A3 Cabriolet"	"1.8 TFSI 160PS 7speed S-Tronic"	"Automatic"	"D7"	1798	"Petrol"	" 32.50 "	" 52.30 "	" 42.80 "	" 154.00 "	" £1,771.67 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A3 Cabriolet"	"2.0 TDI 140PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 49.60 "	" 72.40 "	" 61.40 "	" 119.00 "	" £1,306.05 "	" C "	" £30.00 "	" NA "
"AUDI"	"A3 Cabriolet"	"2.0 TDI 140PS S-Tronic Stop-Start"	"Automatic"	"D6"	1968	"Diesel"	" 47.10 "	" 61.40 "	" 55.40 "	" 134.00 "	" £1,447.50 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A3 Cabriolet"	"2.0 TFSI 200PS"	"Manual"	"M6"	1984	"Petrol"	" 28.20 "	" 50.40 "	" 39.20 "	" 169.00 "	" £1,934.37 "	" H "	" £195.00 "	" £107.25 "
"AUDI"	"A3 Cabriolet"	"2.0 TFSI 200PS S-Tronic"	"Automatic"	"D6"	1984	"Petrol"	" 28.50 "	" 47.90 "	" 38.20 "	" 171.00 "	" £1,985.01 "	" H "	" £195.00 "	" £107.25 "
"AUDI"	"A3 Sportback"	"1.2 TFSI 105PS 7speed S-Tronic Stop-Start"	"Automatic"	"D7"	1197	"Petrol"	" 43.50 "	" 61.40 "	" 53.30 "	" 123.00 "	" £1,422.65 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3 Sportback"	"1.2 TFSI 105PS Stop-Start"	"Manual"	"M6"	1197	"Petrol"	" 42.20 "	" 60.10 "	" 51.40 "	" 127.00 "	" £1,475.24 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3 Sportback"	"1.4 TFSI 125PS Stop-Start"	"Manual"	"M6"	1390	"Petrol"	" 38.70 "	" 57.60 "	" 48.70 "	" 134.00 "	" £1,557.03 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A3 Sportback"	"1.4 TSI 125PS 7speed S-Tronic Stop-Start"	"Automatic"	"D7"	1390	"Petrol"	" 42.80 "	" 58.90 "	" 51.40 "	" 127.00 "	" £1,475.24 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3 Sportback"	"1.6 102PS"	"Manual"	"M5"	1595	"Petrol"	" 30.10 "	" 50.40 "	" 40.40 "	" 164.00 "	" £1,876.91 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A3 Sportback"	"1.6 TDI 105PS 7speed S-Tronic Stop-Start"	"Automatic"	"D7"	1598	"Diesel"	" 57.60 "	" 72.40 "	" 65.70 "	" 112.00 "	" £1,220.57 "	" C "	" £30.00 "	" NA "
"AUDI"	"A3 Sportback"	"1.6 TDI 105PS Stop-Start"	"Manual"	"M5"	1598	"Diesel"	" 56.50 "	" 76.30 "	" 68.90 "	" 109.00 "	" £1,163.88 "	" B "	" £20.00 "	" NA "
"AUDI"	"A3 Sportback"	"1.8 TFSI 160PS"	"Manual"	"M6"	1798	"Petrol"	" 32.50 "	" 53.30 "	" 42.80 "	" 153.00 "	" £1,771.67 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A3 Sportback"	"1.8 TFSI 160PS 7speed S-Tronic"	"Automatic"	"D7"	1798	"Petrol"	" 33.20 "	" 54.30 "	" 43.50 "	" 149.00 "	" £1,743.16 "	" F "	" £135.00 "	" £74.25 "
"AUDI"	"A3 Sportback"	"2.0 TDI 140PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 51.40 "	" 74.30 "	" 64.20 "	" 115.00 "	" £1,249.09 "	" C "	" £30.00 "	" NA "
"AUDI"	"A3 Sportback"	"2.0 TDI 140PS S-Tronic Stop-Start"	"Automatic"	"D6"	1968	"Diesel"	" 48.70 "	" 64.20 "	" 57.60 "	" 129.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3 Sportback"	"2.0 TDI 170PS quattro Stop-Start"	"Manual"	"QM6"	1968	"Diesel"	" 46.30 "	" 61.40 "	" 54.30 "	" 135.00 "	" £1,476.82 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A3 Sportback"	"2.0 TDI 170PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 49.60 "	" 67.30 "	" 60.10 "	" 123.00 "	" £1,334.30 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3 Sportback"	"2.0 TDI 170PS S-Tronic Stop-Start"	"Automatic"	"D6"	1968	"Diesel"	" 50.40 "	" 61.40 "	" 56.50 "	" 130.00 "	" £1,419.32 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3 Sportback"	"2.0 TFSI 200PS"	"Manual"	"M6"	1984	"Petrol"	" 28.50 "	" 50.40 "	" 39.20 "	" 168.00 "	" £1,934.37 "	" H "	" £195.00 "	" £107.25 "
"AUDI"	"A3 Sportback"	"2.0 TFSI 200PS quattro S-Tronic"	"Automatic"	"QD6"	1984	"Petrol"	" 28.20 "	" 45.60 "	" 37.20 "	" 176.00 "	" £2,038.37 "	" I "	" £215.00 "	" £118.25 "
"AUDI"	"A3 Sportback"	"2.0 TFSI 200PS S-Tronic"	"Automatic"	"D6"	1984	"Petrol"	" 28.80 "	" 49.60 "	" 39.20 "	" 168.00 "	" £1,934.37 "	" H "	" £195.00 "	" £107.25 "
"AUDI"	"A3 Sportback"	"RS3 2.5 TFSI quattro 340PS 7speed S-Tronic"	"Automatic"	"QD7"	2480	"Petrol"	" 21.60 "	" 41.50 "	" 31.00 "	" 212.00 "	" £2,446.04 "	" K "	" £270.00 "	" £148.50 "
"AUDI"	"A3 Sportback"	"S3 2.0 TFSI 265PS quattro "	"Manual"	"QM6"	1984	"Petrol"	" 23.90 "	" 42.20 "	" 33.20 "	" 199.00 "	" £2,283.95 "	" J "	" £250.00 "	" £137.50 "
"AUDI"	"A3 Sportback"	"S3 2.0 TFSI 265PS quattro S-Tronic"	"Automatic"	"QD6"	1984	"Petrol"	" 25.20 "	" 41.50 "	" 33.60 "	" 195.00 "	" £2,256.76 "	" J "	" £250.00 "	" £137.50 "
"AUDI"	"A4 Allroad"	"2.0 TDI quattro 177PS 7speed S-Tronic Stop-Start"	"Automatic"	"QD7"	1968	"Diesel"	" 40.40 "	" 52.30 "	" 47.10 "	" 156.00 "	" £1,702.58 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A4 Allroad"	"2.0 TDI quattro 177PS Stop-Start"	"Manual"	"QM6"	1968	"Diesel"	" 40.90 "	" 53.30 "	" 48.70 "	" 153.00 "	" £1,646.64 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A4 Allroad"	"2.0 TFSI quattro 211PS 7speed S-Tronic Stop-Start"	"Automatic"	"QD7"	1984	"Petrol"	" 31.40 "	" 44.80 "	" 38.70 "	" 170.00 "	" £1,959.36 "	" H "	" £195.00 "	" £107.25 "
"AUDI"	"A4 Allroad"	"2.0 TFSI quattro 211PS Stop-Start"	"Manual"	"QM6"	1984	"Petrol"	" 31.00 "	" 46.30 "	" 39.20 "	" 169.00 "	" £1,934.37 "	" H "	" £195.00 "	" £107.25 "
"AUDI"	"A4 Allroad"	"3.0 V6 TDI quattro 245PS 7speed S-Tronic Stop-Start "	"Automatic"	"QD7"	2967	"Diesel"	" 39.20 "	" 51.40 "	" 45.60 "	" 161.00 "	" £1,758.58 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A4 Avant"	"1.8 TFSI 120PS Stop-Start"	"Manual"	"M6"	1798	"Petrol"	" 32.80 "	" 51.40 "	" 42.80 "	" 154.00 "	" £1,771.67 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A4 Avant"	"1.8 TFSI 170PS Multitronic Stop-Start"	"Automatic"	"AV"	1798	"Petrol"	" 40.40 "	" 52.30 "	" 47.10 "	" 139.00 "	" £1,609.92 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A4 Avant"	"1.8 TFSI 170PS Stop-Start"	"Manual"	"M6"	1798	"Petrol"	" 36.70 "	" 54.30 "	" 46.30 "	" 141.00 "	" £1,637.74 "	" F "	" £135.00 "	" £74.25 "
"AUDI"	"A4 Avant"	"2.0 TDI 143PS Multitronic Stop-Start"	"Automatic"	"AV"	1968	"Diesel"	" 50.40 "	" 62.80 "	" 57.60 "	" 129.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A4 Avant"	"2.0 TDI 143PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 50.40 "	" 67.30 "	" 60.10 "	" 124.00 "	" £1,334.30 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A4 Avant"	"2.0 TDI 177PS Multitronic Stop-Start"	"Automatic"	"AV"	1968	"Diesel"	" 50.40 "	" 62.80 "	" 57.60 "	" 129.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A4 Avant"	"2.0 TDI 177PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 49.60 "	" 65.70 "	" 58.90 "	" 126.00 "	" £1,361.48 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A4 Avant"	"2.0 TDI e 136PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 53.30 "	" 72.40 "	" 64.20 "	" 116.00 "	" £1,249.09 "	" C "	" £30.00 "	" NA "
"AUDI"	"A4 Avant"	"2.0 TDI e 163PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 52.30 "	" 70.60 "	" 62.80 "	" 120.00 "	" £1,276.93 "	" C "	" £30.00 "	" NA "
"AUDI"	"A4 Avant"	"2.0 TDI quattro 177PS Stop-Start"	"Manual"	"QM6"	1968	"Diesel"	" 44.80 "	" 60.10 "	" 53.30 "	" 139.00 "	" £1,504.53 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A4 Avant"	"2.0 TFSI 211PS Multitronic Stop-Start"	"Automatic"	"AV"	1984	"Petrol"	" 36.70 "	" 52.30 "	" 45.60 "	" 144.00 "	" £1,662.88 "	" F "	" £135.00 "	" £74.25 "
"AUDI"	"A4 Avant"	"2.0 TFSI quattro 211PS 7speed S-Tronic Stop-Start"	"Automatic"	"QD7"	1984	"Petrol"	" 32.50 "	" 47.10 "	" 39.80 "	" 163.00 "	" £1,905.21 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A4 Avant"	"2.0 TFSI quattro 211PS Stop-Start"	"Manual"	"QM6"	1984	"Petrol"	" 31.40 "	" 48.70 "	" 40.40 "	" 162.00 "	" £1,876.91 "	" G "	" £170.00 "	" £93.50 "
"AUDI"	"A4 Avant"	"3.0 V6 TDI 204PS Multitronic Stop-Start "	"Automatic"	"AV"	2967	"Diesel"	" 49.60 "	" 58.90 "	" 55.40 "	" 135.00 "	" £1,447.50 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A4 Avant"	"3.0 V6 TDI quattro 245PS 7speed S-Tronic Stop-Start"	"Automatic"	"QD7"	2967	"Diesel"	" 40.40 "	" 54.30 "	" 47.90 "	" 154.00 "	" £1,674.14 "	" G "	" £170.00 "	" £93.50 "
